Date,Price
2019-09-19,6030
2019-09-20,5990
2019-09-23,6025
2019-09-24,5945
2019-09-25,5935
2019-09-26,6060
2019-09-27,6070
2019-09-28,6070
2019-10-01,6040
2019-10-02,6050
2019-10-03,6040
2019-10-04,6045
2019-10-07,6070
2019-10-08,6100
2019-10-09,6070
2019-10-10,6110
2019-10-11,6125
2019-10-14,6200
2019-10-15,6175
2019-10-16,6215
2019-10-17,6115
2019-10-18,6160
2019-10-21,6220
2019-10-22,6300
2019-10-23,6275
2019-10-24,6300
2019-10-25,6200
2019-10-28,6205
2019-10-29,6220
2019-10-30,6265
2019-10-31,6290
2019-11-01,6325
2019-11-04,6275
2019-11-05,6360
2019-11-06,6295
2019-11-07,6285
2019-11-08,6280
2019-11-11,6295
2019-11-12,6265
2019-11-13,6280
2019-11-14,6270
2019-11-15,6275
2019-11-18,6280
2019-11-19,6315
2019-11-20,6350
2019-11-21,6300
2019-11-22,6305
2019-11-25,6275
2019-11-26,6285
2019-11-27,6300
2019-11-28,6250
2019-11-29,6280
2019-12-02,6425
2019-12-03,6375
2019-12-04,6365
2019-12-05,6340
2019-12-06,6395
2019-12-09,6395
2019-12-10,6365
2019-12-11,6380
2019-12-12,6340
2019-12-13,6360
2019-12-16,6360
2019-12-17,6500
2019-12-18,6755
2019-12-19,6600
2019-12-20,6660
2019-12-23,6660
2019-12-26,6680
2019-12-27,6695
2019-12-30,6685
2020-01-02,6690
2020-01-03,6800
2020-01-06,6735
2020-01-07,6740
2020-01-08,6680
2020-01-09,6740
2020-01-10,6725
2020-01-13,6745
2020-01-14,6870
2020-01-15,6835
2020-01-16,6850
2020-01-17,6875
2020-01-20,6835
2020-01-21,6830
2020-01-22,6840
2020-01-23,6840
2020-01-24,6810
2020-01-27,6840
2020-01-28,6790
2020-01-29,6785
2020-01-30,6740
2020-01-31,6480
2020-02-03,6440
2020-02-04,6600
2020-02-05,6730
2020-02-06,6740
2020-02-07,6760
2020-02-10,6785
2020-02-11,6780
2020-02-12,6800
2020-02-13,6790
2020-02-14,6680
2020-02-17,6720
2020-02-18,6695
2020-02-19,6695
2020-02-20,6595
2020-02-21,6615
2020-02-24,6525
2020-02-25,6530
2020-02-26,6420
2020-02-27,6290
2020-02-28,6290
2020-03-02,6080
2020-03-03,6320
2020-03-04,6440
2020-03-05,6435
2020-03-06,6200
2020-03-09,5785
2020-03-10,5925
2020-03-11,5850
2020-03-12,5560
2020-03-13,5660
2020-03-16,5505
2020-03-17,5120
2020-03-18,5000
2020-03-19,4650
2020-03-20,4735
2020-03-23,4430
2020-03-24,4500
2020-03-26,5280
2020-03-27,5510
2020-03-30,5495
2020-03-31,5525
2020-04-01,5480
2020-04-02,5410
2020-04-03,5495
2020-04-06,5735
2020-04-07,5655
2020-04-08,5635
2020-04-09,5595
2020-04-13,5500
2020-04-14,5515
2020-04-15,5485
2020-04-16,5240
2020-04-17,5425
2020-04-20,5355
2020-04-21,5160
2020-04-22,5145
2020-04-23,5120
2020-04-24,4920
2020-04-27,4960
2020-04-28,4830
2020-04-29,4850
2020-04-30,5170
2020-05-04,5220
2020-05-05,5285
2020-05-06,5355
2020-05-08,5245
2020-05-11,5295
2020-05-12,5220
2020-05-13,5110
2020-05-14,4920
2020-05-15,4785
2020-05-18,4765
2020-05-19,4680
2020-05-20,4765
2020-05-26,4970
2020-05-27,4965
2020-05-28,5295
2020-05-29,5190
2020-06-02,5360
2020-06-03,5780
2020-06-04,5790
2020-06-05,5725
2020-06-08,5900
2020-06-09,5805
2020-06-10,5800
2020-06-11,5680
2020-06-12,5670
2020-06-15,5500
2020-06-16,5760
2020-06-17,5720
2020-06-18,5585
2020-06-19,5575
2020-06-22,5540
2020-06-23,5620
2020-06-24,5705
